generation,best_fitness,mean_fitness
1.000000000000000000e+00,3.819289735251226170e-01,1.375077685062296995e-01
2.000000000000000000e+00,1.812068652278409076e+00,4.960279457819066207e-01
3.000000000000000000e+00,2.401436790495430795e+00,7.211601312682465181e-01
4.000000000000000000e+00,2.401436790495430795e+00,9.745782840876880959e-01
5.000000000000000000e+00,2.401436790495430795e+00,8.992212579012306417e-01
6.000000000000000000e+00,2.401436790495430795e+00,7.782851243259114593e-01
7.000000000000000000e+00,2.401436790495430795e+00,7.984585194368101213e-01
8.000000000000000000e+00,2.535678216395850892e+00,9.451728733050528408e-01
9.000000000000000000e+00,2.535678216395850892e+00,7.180707343306964585e-01
1.000000000000000000e+01,2.535678216395850892e+00,1.010767315323883642e+00
1.100000000000000000e+01,2.837896407942735344e+00,9.721881542735306692e-01
1.200000000000000000e+01,3.293955977964852178e+00,1.064635959574371071e+00
1.300000000000000000e+01,3.293955977964852178e+00,9.646303050290636616e-01
1.400000000000000000e+01,3.293955977964852178e+00,1.334894763244152571e+00
1.500000000000000000e+01,4.413505661752827436e+00,1.139916230445827461e+00
1.600000000000000000e+01,4.413505661752827436e+00,1.459383895061979741e+00
1.700000000000000000e+01,4.413505661752827436e+00,1.107118887361084880e+00
1.800000000000000000e+01,4.413505661752827436e+00,9.285987721019189900e-01
1.900000000000000000e+01,4.413505661752827436e+00,1.368433448675523412e+00
2.000000000000000000e+01,4.413505661752827436e+00,1.056828674291851122e+00
2.100000000000000000e+01,4.413505661752827436e+00,1.381080361665612655e+00
2.200000000000000000e+01,4.431847835475794639e+00,1.089854767740635166e+00
2.300000000000000000e+01,4.431847835475794639e+00,1.174148374286525520e+00
2.400000000000000000e+01,4.431847835475794639e+00,1.283382697786089155e+00
2.500000000000000000e+01,4.431847835475794639e+00,1.475969996460149147e+00
2.600000000000000000e+01,4.431847835475794639e+00,1.389181639183810102e+00
2.700000000000000000e+01,4.431847835475794639e+00,1.214100173709472319e+00
2.800000000000000000e+01,4.645217929858580952e+00,1.411222828718217359e+00
2.900000000000000000e+01,4.645217929858580952e+00,1.627704846710924524e+00
3.000000000000000000e+01,4.645217929858580952e+00,1.548352436416239319e+00
3.100000000000000000e+01,4.645217929858580952e+00,9.879727047800329620e-01
3.200000000000000000e+01,4.645217929858580952e+00,1.234207717731853560e+00
3.300000000000000000e+01,4.645217929858580952e+00,1.704591692135425829e+00
3.400000000000000000e+01,4.645217929858580952e+00,1.870038540090343648e+00
3.500000000000000000e+01,4.817398384265070277e+00,1.590779686382620239e+00
3.600000000000000000e+01,4.817398384265070277e+00,1.188322014678611094e+00
3.700000000000000000e+01,4.817398384265070277e+00,9.661513398613064130e-01
3.800000000000000000e+01,4.817398384265070277e+00,1.131508824963654236e+00
3.900000000000000000e+01,4.817398384265070277e+00,1.248745276654610548e+00
4.000000000000000000e+01,4.817398384265070277e+00,1.597033464297148209e+00
4.100000000000000000e+01,4.817398384265070277e+00,1.236202697868755918e+00
4.200000000000000000e+01,4.817398384265070277e+00,1.110145839810374735e+00
4.300000000000000000e+01,4.817398384265070277e+00,1.358109783766728196e+00
4.400000000000000000e+01,4.817398384265070277e+00,1.418927444469408217e+00
4.500000000000000000e+01,4.817398384265070277e+00,1.344935380572658046e+00
4.600000000000000000e+01,4.817398384265070277e+00,1.117098855706491367e+00
4.700000000000000000e+01,4.817398384265070277e+00,1.518758962071709906e+00
4.800000000000000000e+01,4.817398384265070277e+00,9.557163075898760241e-01
4.900000000000000000e+01,4.817398384265070277e+00,1.690312480414202678e+00
5.000000000000000000e+01,4.817398384265070277e+00,1.049830006244275138e+00
5.100000000000000000e+01,4.817398384265070277e+00,1.455565794148371950e+00
5.200000000000000000e+01,4.817398384265070277e+00,1.063184426511109892e+00
5.300000000000000000e+01,4.817398384265070277e+00,1.154754488632969922e+00
5.400000000000000000e+01,4.817398384265070277e+00,1.179427378414314109e+00
5.500000000000000000e+01,4.817398384265070277e+00,1.573377949997688985e+00
5.600000000000000000e+01,4.817398384265070277e+00,1.081625911853364652e+00
5.700000000000000000e+01,4.817398384265070277e+00,1.353619049126315144e+00
5.800000000000000000e+01,4.817398384265070277e+00,1.931257946581988794e+00
5.900000000000000000e+01,4.817398384265070277e+00,1.260065467515992577e+00
6.000000000000000000e+01,4.817398384265070277e+00,1.547892049116365909e+00
6.100000000000000000e+01,4.817398384265070277e+00,1.433778934893132906e+00
6.200000000000000000e+01,4.817398384265070277e+00,1.659930865873976202e+00
6.300000000000000000e+01,5.063818426621086388e+00,1.615579382314947354e+00
6.400000000000000000e+01,5.063818426621086388e+00,1.619422750979138126e+00
6.500000000000000000e+01,5.063818426621086388e+00,1.556169872942968269e+00
6.600000000000000000e+01,5.063818426621086388e+00,1.383819614200311188e+00
6.700000000000000000e+01,5.063818426621086388e+00,1.394899809878457519e+00
6.800000000000000000e+01,5.063818426621086388e+00,1.293651035845247099e+00
6.900000000000000000e+01,5.063818426621086388e+00,1.458971849538986287e+00
7.000000000000000000e+01,5.063818426621086388e+00,1.518429816877760130e+00
7.100000000000000000e+01,5.063818426621086388e+00,9.269521503101533222e-01
7.200000000000000000e+01,5.063818426621086388e+00,1.768078115262579741e+00
