generation,best_fitness,mean_fitness
7.400000000000000000e+01,4.913057329882216662e-01,4.881502454645161859e-01
7.500000000000000000e+01,4.913057329882216662e-01,4.857666297827486490e-01
7.600000000000000000e+01,4.913057329882216662e-01,4.842275733827399731e-01
7.700000000000000000e+01,4.913057329882216662e-01,4.836836486926413547e-01
7.800000000000000000e+01,4.913057329882216662e-01,4.846605508126045625e-01
7.900000000000000000e+01,4.913057329882216662e-01,4.824562291775252865e-01
8.000000000000000000e+01,4.913057329882216662e-01,4.851964463448185105e-01
8.100000000000000000e+01,4.913057329882216662e-01,4.862058696317873574e-01
8.200000000000000000e+01,4.913057329882216662e-01,4.860483141515405947e-01
8.300000000000000000e+01,4.913057329882216662e-01,4.878626509767284292e-01
8.400000000000000000e+01,4.913057329882216662e-01,4.870166686308022297e-01
8.500000000000000000e+01,4.913057329882216662e-01,4.848502820411416114e-01
8.600000000000000000e+01,4.913057329882216662e-01,4.836008770574693472e-01
8.700000000000000000e+01,4.913057329882216662e-01,4.852007085165476186e-01
8.800000000000000000e+01,4.913057329882216662e-01,4.839276269949544518e-01
8.900000000000000000e+01,4.913057329882216662e-01,4.855349440556612772e-01
9.000000000000000000e+01,4.913057329882216662e-01,4.854298258835473834e-01
9.100000000000000000e+01,4.913057329882216662e-01,4.825418247887646173e-01
9.200000000000000000e+01,4.913057329882216662e-01,4.856046362421135854e-01
9.300000000000000000e+01,4.913057329882216662e-01,4.863644077489162609e-01
9.400000000000000000e+01,4.913057329882216662e-01,4.838749642819021313e-01
9.500000000000000000e+01,4.913057329882216662e-01,4.845494290098146806e-01
9.600000000000000000e+01,4.913057329882216662e-01,4.852276921448201996e-01
9.700000000000000000e+01,4.913057329882216662e-01,4.835264463263829748e-01
9.800000000000000000e+01,4.913057329882216662e-01,4.845403492704215553e-01
9.900000000000000000e+01,4.913057329882216662e-01,4.872866370152132420e-01
1.000000000000000000e+02,4.913057329882216662e-01,4.854991452539231811e-01
1.010000000000000000e+02,4.913057329882216662e-01,4.855319771118923322e-01
1.020000000000000000e+02,4.913057329882216662e-01,4.849606473562205755e-01
1.030000000000000000e+02,4.914163001098716399e-01,4.851103467851975992e-01
1.040000000000000000e+02,4.914163001098716399e-01,4.860288421186221841e-01
1.050000000000000000e+02,4.914163001098716399e-01,4.840735376387690359e-01
1.060000000000000000e+02,4.914163001098716399e-01,4.851749112392166330e-01
1.070000000000000000e+02,4.914163001098716399e-01,4.839456436475321754e-01
1.080000000000000000e+02,4.914163001098716399e-01,4.833471826061019883e-01
1.090000000000000000e+02,4.914163001098716399e-01,4.851000805103516944e-01
1.100000000000000000e+02,4.914163001098716399e-01,4.824475353802415434e-01
1.110000000000000000e+02,4.914163001098716399e-01,4.830487561541259578e-01
1.120000000000000000e+02,4.914163001098716399e-01,4.832854726571981230e-01
1.130000000000000000e+02,4.914163001098716399e-01,4.864640762399115026e-01
1.140000000000000000e+02,4.914163001098716399e-01,4.819371974055967622e-01
1.150000000000000000e+02,4.914163001098716399e-01,4.845624335596333543e-01
1.160000000000000000e+02,4.914163001098716399e-01,4.842381160914454030e-01
1.170000000000000000e+02,4.914163001098716399e-01,4.855319236561593810e-01
1.180000000000000000e+02,4.914163001098716399e-01,4.839070884060050481e-01
1.190000000000000000e+02,4.914163001098716399e-01,4.821707541861248170e-01
1.200000000000000000e+02,4.914163001098716399e-01,4.820828527063353297e-01
1.210000000000000000e+02,4.914163001098716399e-01,4.846443015441179725e-01
1.220000000000000000e+02,4.914163001098716399e-01,4.801695558601093983e-01
1.230000000000000000e+02,4.914163001098716399e-01,4.833404380291160818e-01
1.240000000000000000e+02,4.914163001098716399e-01,4.839793841685871567e-01
1.250000000000000000e+02,4.914163001098716399e-01,4.818929152696632134e-01
1.260000000000000000e+02,4.914163001098716399e-01,4.837842053350535076e-01
1.270000000000000000e+02,4.914163001098716399e-01,4.853834651258915889e-01
1.280000000000000000e+02,4.914163001098716399e-01,4.863888277541378313e-01
1.290000000000000000e+02,4.914163001098716399e-01,4.801426968617925617e-01
1.300000000000000000e+02,4.914163001098716399e-01,4.839079237976348646e-01
1.310000000000000000e+02,4.914163001098716399e-01,4.852412106537737913e-01
1.320000000000000000e+02,4.914163001098716399e-01,4.822015025906480901e-01
1.330000000000000000e+02,4.914163001098716399e-01,4.817061715208917905e-01
1.340000000000000000e+02,4.914163001098716399e-01,4.830795370790035292e-01
1.350000000000000000e+02,4.914163001098716399e-01,4.835743364613984130e-01
1.360000000000000000e+02,4.914163001098716399e-01,4.868027142819283948e-01
1.370000000000000000e+02,4.914163001098716399e-01,4.837482730591410873e-01
1.380000000000000000e+02,4.914163001098716399e-01,4.825505767541373170e-01
1.390000000000000000e+02,4.914163001098716399e-01,4.847839593635544508e-01
1.400000000000000000e+02,4.914163001098716399e-01,4.844945067886891055e-01
1.410000000000000000e+02,4.914163001098716399e-01,4.830029555918454731e-01
1.420000000000000000e+02,4.914163001098716399e-01,4.833025121148358805e-01
1.430000000000000000e+02,4.914163001098716399e-01,4.828271604659051808e-01
1.440000000000000000e+02,4.914163001098716399e-01,4.838670022152097294e-01
1.450000000000000000e+02,4.914163001098716399e-01,4.826905415502324992e-01
1.460000000000000000e+02,4.914163001098716399e-01,4.827424821539029187e-01
1.470000000000000000e+02,4.914163001098716399e-01,4.836422112636410420e-01
1.480000000000000000e+02,4.914163001098716399e-01,4.858318045745398939e-01
1.490000000000000000e+02,4.914163001098716399e-01,4.853911440991592885e-01
1.500000000000000000e+02,4.914163001098716399e-01,4.827281251935956474e-01
1.510000000000000000e+02,4.914163001098716399e-01,4.836030232524272110e-01
1.520000000000000000e+02,4.914163001098716399e-01,4.834277522797586490e-01
1.530000000000000000e+02,4.914163001098716399e-01,4.828989078587956341e-01
1.540000000000000000e+02,4.914163001098716399e-01,4.818032513356589885e-01
1.550000000000000000e+02,4.914163001098716399e-01,4.851151222488064851e-01
1.560000000000000000e+02,4.914163001098716399e-01,4.839299783632854957e-01
1.570000000000000000e+02,4.914163001098716399e-01,4.844134719245412057e-01
1.580000000000000000e+02,4.914163001098716399e-01,4.866391706150310914e-01
1.590000000000000000e+02,4.914163001098716399e-01,4.823773640760309900e-01
1.600000000000000000e+02,4.914163001098716399e-01,4.829060330825275527e-01
1.610000000000000000e+02,4.914163001098716399e-01,4.834739914775026959e-01
1.620000000000000000e+02,4.914163001098716399e-01,4.840326229711943151e-01
1.630000000000000000e+02,4.914163001098716399e-01,4.835577413510675493e-01
1.640000000000000000e+02,4.914163001098716399e-01,4.855557208536617209e-01
1.650000000000000000e+02,4.914163001098716399e-01,4.837111089996084523e-01
1.660000000000000000e+02,4.914163001098716399e-01,4.851817854625823934e-01
1.670000000000000000e+02,4.914163001098716399e-01,4.847428949164104273e-01
1.680000000000000000e+02,4.914163001098716399e-01,4.842021276107322802e-01
1.690000000000000000e+02,4.914163001098716399e-01,4.844345931412217254e-01
1.700000000000000000e+02,4.914163001098716399e-01,4.850031631911191354e-01
1.710000000000000000e+02,4.914163001098716399e-01,4.858761018492816497e-01
1.720000000000000000e+02,4.914163001098716399e-01,4.843443869131319746e-01
1.730000000000000000e+02,4.914163001098716399e-01,4.838575206423932906e-01
